"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Personal register profile","","0","1","0","0","0"
"","Remove an item in basket","","0","1","0","0","0"
"","Checking the date test","","0","1","0","0","0"
"","Personal incorrect authorization page","","0","1","0","0","0"
"","Adding a product to basket","","0","1","0","0","0"
"","Personal authorization page","","0","1","0","0","0"
