"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 15 08:27:54 GMT 2024","Thu Feb 15 08:28:34 GMT 2024","40437","tests","delete_an_item_test","TestDeleteAnItem","","","Delete an item test",""
"broken","Thu Feb 15 08:26:32 GMT 2024","Thu Feb 15 08:27:12 GMT 2024","40433","tests","authorization_test","TestAuthorizationProfile","","","Authorization",""
"broken","Thu Feb 15 08:28:35 GMT 2024","Thu Feb 15 08:29:15 GMT 2024","40434","tests","incorrect_authorization_test","TestIncorrectProfile","","","Incorrect authorization",""
"broken","Thu Feb 15 08:25:51 GMT 2024","Thu Feb 15 08:26:32 GMT 2024","40648","tests","add_to_basket_test","TestAddToBasket","","","Add to Basket",""
"broken","Thu Feb 15 08:27:13 GMT 2024","Thu Feb 15 08:27:54 GMT 2024","40836","tests","changing_the_date_test","TestCheckingDate","","","Checking the date test",""
"broken","Thu Feb 15 08:29:16 GMT 2024","Thu Feb 15 08:29:56 GMT 2024","40429","tests","register_test","TestRegisterProfile","","","Register",""
